question_en,question_ne,response_en,response_ne,intent
What should I do if I experience sudden swelling of my face or hands during pregnancy?,pregnancy me achanak hath ya mukh swell bhaye k garne?,Sudden swelling in the face or hands during pregnancy may indicate preeclampsia. Seek immediate medical attention as it can be life-threatening.,"Pregnancy ma achanak mukh ya haath ma swell preeclampsia ko chinhn ho sakchha. Yo jeevan khatarnak huna sakchha, ra turunt chikitsa garna jana parcha.",pregnancy_complication
How can I tell if I have a urinary tract infection during pregnancy?,Garbhavasthama urinary tract infection bhayeko ho bhane ke kasari pata garne?,"Symptoms of a UTI during pregnancy include pain during urination, cloudy or foul-smelling urine, and pelvic discomfort. Consult your doctor if you experience these.","Garbhavasthama UTI ko lakshan haru ma peshab garna dard, ganaune peshab, ra pelvic discomfort sammilit chhan. Yadi tapaile yeh sabai mahsoos garne ho bhane doctor sanga jana parcha.",pregnancy_complication
What are the common symptoms of pregnancy?,Pregnancy ko symptoms k ho?,"Common symptoms of pregnancy include missed periods, nausea, vomiting, fatigue, tender breasts, and frequent urination.","Pregnancy ko common symptoms haru ma period miss hune, nausea, ulti, thakaune, kaanpne breasts, ra barambar peshab janma sammilit chha.",symptom_inquiry
what to do if i am having severe stomach pain?,ekdam pet dukhda k garne?,"When experiencing severe stomach pain, drink warm water, do light exercises, and take rest. If the pain is too much, consult a doctor!","Pet dherai dukhda, garam pani piune, halka exercise garne, ra aaram garne. Dherai dukhai bhaye doctor sanga salah garnu!",cramp_question
How do I know if I have ovulation pain?,Malai ovulation ko pain bhako ho bhane ke kasari thaha paune?,"Ovulation pain typically occurs around the middle of your cycle, often on one side of the abdomen. It is sharp and brief, and may be accompanied by slight spotting.","Ovulation ko pain usually aaphno cycle ko bich hunchha, jastai ek thauma gahiro pain hune. Yo sharp ra chhoto hunchha ra thorai spotting pani huna sakchha.",symptom_inquiry
What are the signs of an irregular period?,Irregular period ko signs k k ho?,"Signs of an irregular period may include variations in the cycle length, missed periods, or periods that are heavier or lighter than normal. Consult your doctor if this occurs.","Irregular period ko lakshan haru cycle ko length ma parivartan, period miss hune, ya normal bhanda bhari ya halka hune chha. Yadi yo dekhincha bhane doctor sanga check garne.",symptom_inquiry
What does it mean if I am feeling dizzy and lightheaded?,malai chakkar aairako cha bhanya k ho?,"Feeling dizzy and lightheaded can be caused by low blood pressure, dehydration, anemia, or other conditions. If persistent, consult a healthcare provider.","Chakkar aune jasto garo hune reasons low blood pressure, dehydration, anemia, ya anya samasya huna sakchha. Yadi yo dherai time samma raheko cha bhane checkup garne.",symptom_inquiry
What should I do if I have a fever during pregnancy?,prega ma jworo aaye ke garne?,A fever during pregnancy can indicate an infection. It's important to consult your doctor immediately to determine the cause and appropriate treatment.,Garbhavasthama jwar ko lakshan infection ko karan huna sakchha. Doctor sanga turunt check garne ra karan ra upachar ko barema thaha paune.,symptom_inquiry
What does it mean if I have unusual discharge?,mero ajeeb discharge bhairako cha?,"Unusual discharge may indicate an infection or hormonal imbalance. It could be yellow, green, or have an unpleasant odor. See a doctor for a proper diagnosis.","Asadharan discharge infection ya hormonal imbalance ko signs ho sakchha. Yo pahelo, hariyo, wa ekdam ganaune huna sakcha. Doctor sanga check garne.",symptom_inquiry
What does it mean if I have unusual discharge?,mero arkai discharge bhairako cha?,"Unusual discharge may indicate an infection or hormonal imbalance. It could be yellow, green, or have an unpleasant odor. See a doctor for a proper diagnosis.","Asadharan discharge infection ya hormonal imbalance ko signs ho sakchha. Yo pahelo, hariyo, wa ekdam ganaune huna sakcha. Doctor sanga check garne.",symptom_inquiry
What are the signs of anemia during pregnancy?,pregancy ma anemia ko signs k ho?,"Signs of anemia include fatigue, weakness, pale skin, shortness of breath, dizziness, and headaches. If these symptoms occur, consult your doctor.","Anemia ko lakshan haru thakaune, kamjori, pale hune, saans lene garo hune, chakkar aaune jasto ho. Yadi yeh sabai dekhincha bhane doctor sanga check garne.",symptom_inquiry
How do I know if I am dehydrated during pregnancy?,Garbhavasthama dehydration bhayeko ho bhane ke kasari thaha paune,"Symptoms of dehydration include dark urine, dry mouth, dizziness, and fatigue. Drink plenty of water and consult your doctor if symptoms persist.","Dehydration ko lakshan haru ma kalo peshab, suko mukh, chakkar, ra thakaune sammilit chhan. Dherai paani pyaunuhos ra yadi lakshan rahichha bhane doctor sanga check garne.",symptom_inquiry
What should I do if I am feeling nauseous during pregnancy?,Garbhavasthama nausea bhayeko ho bhane ke garne?,"Nausea during pregnancy is common, especially in the first trimester. Eat small, frequent meals and avoid strong odors. Consult your doctor if it persists or worsens.","Garbhavasthama nausea pahilo trimester ma sadharan ho. Chhoto, barambar khana khanu ra strong smell bata tadha basnu. Yadi yeh rahichha bhane doctor sanga check garne.",symptom_inquiry
What are the different types of contraceptive methods?,Contraceptive ko types k k ho?,"Contraceptive methods include hormonal methods (e.g., birth control pills, patches, injections), barrier methods (e.g., condoms), and natural methods (e.g., tracking fertility).","Contraceptive ko tareekaharu hormonal methods (jasto birth control pills, patches, injections), barrier methods (jasto condoms), ra natural methods (jasto fertility track garne) sammilit chha.",contraceptive_inquiry
How effective is birth control?,Birth control kati effect hunchha?,"Birth control is highly effective when used correctly. For example, birth control pills are about 99% effective, while condoms are about 85% effective.","Birth control correct way bata use gare useful hunchha. Jastai birth control pills lagbhag 99% effective hunchha, ra condoms lagbhag 85% effective hunchha.",contraceptive_inquiry
Can I use birth control if I have irregular periods?,Yadi malai irregular periods hunchha bhane ke birth control useful hunchha?,"Yes, birth control can help regulate menstrual cycles in people with irregular periods. It can also reduce heavy bleeding and manage other symptoms.","Ho, birth control irregular periods bhayeka manche ma menstrual cycles ko niyantran garna madat garna sakchha. Yo bhari blood flow ra anya lakshan haru lai control garna sakchha.",contraceptive_inquiry
What are the side effects of using birth control pills?,Birth control pills ko side effects ke ke ho?,"Side effects of birth control pills may include nausea, headaches, mood changes, weight gain, and spotting between periods. Consult your doctor if you experience these.","Birth control pills ko side effects ma nausea, tauko dukhne, manasik parivartan, weight badhna, ra period ko bichma spotting sammilit chha. Yadi yeh dekhincha bhane doctor sanga check garne.",contraceptive_inquiry
How do condoms work as contraception?,Condoms kasari kaam garcha?,Condoms are a barrier method of contraception that prevents sperm from reaching the egg. They are also the only method that protects against sexually transmitted infections (STIs).,Condoms contraception ko barrier method ho jasle sperm lai female body chirna bata rokcha. Yo sirf ek matra method ho jasle sexually transmitted infections (STIs) bata bachcha.,contraceptive_inquiry
Can I use contraceptives if I am breastfeeding?,Yadi ma breastfeeding garna sakchhu bhane ke contraceptives upayogi hunchha?,"Yes, there are certain types of contraceptives that are safe to use while breastfeeding, such as progestin-only pills and IUDs. Consult your doctor to find the best option.","Ho, kehi prakar ko contraceptives breastfeeding ko samay upayogi chhan, jastai progestin-only pills ra IUDs. Afno doctor sanga check garne ra best option chhanna saknu hunchha.",contraceptive_inquiry
What is an IUD and how does it work?,IUD ke ho ra yo kasari kaam garchha?,An IUD (intrauterine device) is a small T-shaped plastic and copper device placed inside the uterus. It prevents sperm from fertilizing the egg and can be effective for 3-10 years.,IUD (intrauterine device) ek chhoto T-shape ko plastic ra copper ko device ho jaslai uterus bhitra rakhincha. Yo sperm lai fuse huna bata bachauchha ra 3-10 barsha samma prabhavi hunchha.,contraceptive_inquiry
Can contraceptives help with acne?,Contraceptives le acne ma madat garna sakchha?,"Some hormonal contraceptives, such as birth control pills, can help reduce acne by regulating hormones. Consult your doctor to see if it’s right for you.","Kehi hormonal contraceptives, jaslai birth control pills bhanincha, acne ko niyantran garna madat garna sakchha, hormone haru lai control garera. Apno doctor sanga salaha garne.",contraceptive_inquiry
Are there natural contraceptive methods?,k natural contraceptive methods chhan?,"Natural contraceptive methods include fertility awareness, withdrawal method, and breastfeeding. However, these methods are less effective than other forms of contraception.","Natural contraceptive methods fertility awareness, withdrawal method, ra breastfeeding sammilit chhan. Tara, yeh methods anya contraceptive methods bhanda kam prabhavi hunchha.",contraceptive_inquiry
What is the difference between the pill and the patch?,Pill ra patch ko farak ke ho?,"The pill is an oral contraceptive taken daily, while the patch is a small adhesive worn on the skin for a week at a time. Both methods release hormones to prevent pregnancy.","Pill ek oral contraceptive ho jaslai daily basis ma khana parcha, ra patch ek chhoto chhipko adhesive ho jaslai skin ma ek hapta samma rakheko hunchha. duitai method haru le pregnancy rokna hormones dincha.",contraceptive_inquiry
How do emergency contraceptive pills work?,Emergency contraceptive pills kasari kaam garchha?,"Emergency contraceptive pills, such as the ""morning-after pill,"" work by delaying or inhibiting ovulation or fertilization. They are most effective within 72 hours after unprotected sex.","Emergency contraceptive pills, jaslai ""morning-after pill"" pani bhannchha, ovulation ya fertilization ko samay pachi rokne ya dhila garne kaam garchha. Yo 72 ghanta bhitra khaye effective huncha.",contraceptive_inquiry
Can I get pregnant if I miss one birth control pill?,Yadi ma ek birth control pill miss garchu bhane ke ma pregnant huna sakchhu?,"Missing one pill can increase your chances of pregnancy, especially if it is not taken within 24 hours. Follow the instructions for missed pills to maintain effectiveness.","Ek pill miss gare pregnancy ko chance badhauna sakcha, yadi 24 ghanta bhitra lena garne ho bhane. ",contraceptive_inquiry
How long can I use a contraceptive implant?,Contraceptive implant kati samaya samma prayog garna sakchhu?,"A contraceptive implant can be used for 3 to 5 years, depending on the type. It is a small rod inserted under the skin, releasing hormones to prevent pregnancy.","Contraceptive implant 3 dekhi 5 barsha samma prayog garna sakchha, tyasko prakar anusar. Yo ek chhoto rod ho jasle hormones chhodeko garne.",contraceptive_inquiry
Are there contraceptives for men?,kta haru ko lagi contraceptives chha?,"Yes, there are contraceptive options for men, such as condoms and vasectomy. These methods prevent sperm from reaching the egg.","Ho, purush haru ko lagi contraceptive options chha, jastai condoms ra vasectomy.",contraceptive_inquiry
Can I use contraceptives if I am over 40?,if ma 40 barsa bhanda badi chhu bhane ke contraceptives effective hunchha?,"Yes, many contraceptive options, including birth control pills and IUDs, are safe for people over 40. However, it’s important to consult your doctor for personalized advice.","Ho, dherai contraceptive options, birth control pills ra IUDs samet, 40 barsa bhanda badi manisama pani upayogi chhan. Tara, apno doctor sanga salaha garne zaruri chha.",contraceptive_inquiry
What is a hormonal IUD?,Hormonal IUD ke ho?,"A hormonal IUD is a small, T-shaped device placed inside the uterus that releases hormones to prevent pregnancy. It can last for 3 to 5 years depending on the type.","Hormonal IUD ek chhoto, T-shape ko device ho jaslai uterus bhitra rakheko chha ra hormones chhodeko garne, yo 3 dekhi 5 barsha samma chalcha.",contraceptive_inquiry
Can contraceptives affect my mood or mental health?,Contraceptives le mero manasik swasthya ya mood ma prabhav parcha?,"Some contraceptives, especially hormonal ones, may affect mood or mental health. If you experience significant changes, consult your doctor for alternative options.","Kehi contraceptives, vises garera hormonal ones, mood ya manasik swasthya ma prabhav parna sakchha. Yadi thulo parivartan dekhincha bhane, doctor sanga salaha garne.",contraceptive_inquiry
Can I use birth control if I have a history of blood clots?,Yadi malaai blood clots ko itihas chha bhane ke ma birth control use garna sakchhu?,"Some birth control methods, particularly those with estrogen, may increase the risk of blood clots. It's important to discuss options with your doctor if you have a history.","Kehi birth control methods, bisesa estrogen waala, blood clots ko risk badhaune sakchha. Yadi apno itihas cha bhane doctor sanga options ko barema salaha garne.",contraceptive_inquiry
What is the best contraceptive method for me?,Mero lagi sabai bhanda ramro contraceptive method ke ho?,"The best contraceptive method varies depending on factors such as health, convenience, and personal preference. Consult your healthcare provider to find the right choice.","Ramro contraceptive method swasthya, suvidha, ra vyaktigat wish ko adhar ma farak hunchha. Apno doctor sanga salaha garne.",contraceptive_inquiry
What is a copper IUD and how does it work?,Copper IUD ke ho ra yo kasari kaam garchha?,A copper IUD is a small T-shaped device inserted into the uterus. It releases copper to prevent sperm from fertilizing the egg and can last up to 10 years.,Copper IUD ek chhoto T-shape ko device ho jaslai uterus bhitra rakhne garincha. Yo copper chhodeko garne jasle sperm lai andaja bata bachchha ra 10 barsha samma chalcha.,contraceptive_inquir
should i not go to temples during period?,hamilai mandir jana thik huncha ki hunna?,"This is a cultural stigma, not a medical rule. There is no health reason preventing women from visiting temples during their period. It’s important to challenge such taboos.","Yo ek sanskritik stigma ho, medical niyam hoina. Period ko samay ma mahilale mandir jaanu parne ko lagi kunai swasthya samasya chaina. Yo taboos lai challenge garnu zaruri ho.",social_stigma_inquiry
Is it true that women can't visit temples during their period?,kt haru period bhayepachhi mandir jaanu hudaina?,"This is a cultural stigma, not a medical rule. There is no health reason preventing women from visiting temples during their period. It’s important to challenge such taboos.","Yo ek sanskritik stigma ho, medical niyam hoina. Period ko samay ma mahilale mandir jaanu parne ko lagi kunai swasthya samasya chaina. Yo taboos lai challenge garnu zaruri ho.",social_stigma_inquiry
Why are women not allowed to enter religious places during their periods?,"Period ko samay mahilale dharmik sthal haru ma jana sakdainan, kina?","Many religious traditions consider menstruation impure, but these beliefs are based on cultural practices rather than science. Menstruating women are perfectly healthy.","Dherai dharmik parampara haru menstruation lai impure manchhan, tara yo dharmik anushasan haru ko adhar ma ho, science ko adhar ma hoina. Period bhayeka mahilale puri tarikale swasthya cha.",social_stigma_inquiry
Can women touch holy books during their period?,Period ko samay mahila le pavitra kitab haru chhune garna sakchhan?,"There is no scientific or religious basis for banning women from touching holy books during their period. This is a cultural belief, not a religious requirement.",Pavitra kitab haru chhune ko lagi period ko samay mahilale manahi garna sakdainan bhanne kunai scientific ya dharmik aadhar chhaina. Yo ek sanskritik vichar ho.,social_stigma_inquiry
Why are women considered impure during menstruation?,Menstruation ko samay mahila le impure kina manincha?,"The belief that women are impure during menstruation is based on outdated cultural ideas. Menstruation is a natural, healthy process that does not make women impure.","Menstruation ko samay mahilale impure manne vichar purano sanskritik dharna ko adhar ma ho. Menstruation ek prakritik ra swasthya prakriya ho, jasle mahilale impure banaundaina.",social_stigma_inquiry
Can we cook during our period?,Period ko time ma hamile khana banauna sakchham?,"There is no health reason why women cannot cook during their period. This belief is based on cultural stigma, not a medical concern.","Period ko samay mahilale khana pakauna sakdainan bhannne kunai swasthya karan chhaina. Yo sanskritik stigma ho, medical chinta hoina.",social_stigma_inquiry
Can women cook during their period?,Period ko time ma kt le khana banauna sakchham?,"There is no health reason why women cannot cook during their period. This belief is based on cultural stigma, not a medical concern.","Period ko samay mahilale khana pakauna sakdainan bhannne kunai swasthya karan chhaina. Yo sanskritik stigma ho, medical chinta hoina.",social_stigma_inquiry
Can women cook during their period?,Period ko samay mahilale khana pakauna sakchhan?,"There is no health reason why women cannot cook during their period. This belief is based on cultural stigma, not a medical concern.","Period ko samay mahilale khana pakauna sakdainan bhannne kunai swasthya karan chhaina. Yo sanskritik stigma ho, medical chinta hoina.",social_stigma_inquiry
Why are women not allowed to participate in family celebrations during menstruation?,Menstruation ko samay mahilale parivarik utsav ma bhag lina sakdainan?,"This is another example of a cultural taboo, with no health justification. Women can fully participate in family celebrations regardless of menstruation.","Yo aru ek sanskritik taboos ho, jasko swasthya sambandhi kunai adhar chhaina. Mahilale menstruation ko chahada parivarik utsav ma puri tarikale bhag lina sakchhan.",social_stigma_inquiry
Why do some people say women can't touch plants during menstruation?,Kehi manis haru bhancha ki mahilale period ko samay ropaharu chhuna sakdainan?,This is an outdated belief with no scientific backing. There is no reason why women can’t touch plants or do gardening during menstruation.,"Yo ek purano vichar ho, jasko kunai scientific adhar chhaina. Period ko samay mahilale ropaharu chhuna sakdainan bhanne kunai karan chhaina.",social_stigma_inquiry
Why do some cultures keep women isolated during their period?,"Kehi sanskriti haru mahilale period ko samay alag rakhchhan, kina?",Isolation during menstruation is rooted in old cultural practices that associate menstruation with impurity. It’s essential to break these traditions to empower women.,"Period ko samay mahilale alag rakhne parampara purano sanskritik abhipray ko adhar ma ho, jasle menstruation lai impure manchha. Yo parampara haru todne zaruri ho.",social_stigma_inquiry
Can a woman pray during her period?,Period ko samay mahilale prarthana garna sakchha?,"Yes, a woman can pray during her period. There is no religious or health reason preventing her from doing so. This is a societal belief rather than a true restriction.","Ho, mahilale period ko samay prarthana garna sakchha. Yo garne ma kunai dharmik ya swasthya samasya chaina. Yo ek samajik vichar ho, jo sahi chhaina.",social_stigma_inquiry
Can we go to temple during period?,Period bela hami mandir jana milcha?,"Yes, a woman can pray during her period. There is no religious or health reason preventing her from doing so. This is a societal belief rather than a true restriction.","Ho, mahilale period ko samay prarthana garna sakchha. Yo garne ma kunai dharmik ya swasthya samasya chaina. Yo ek samajik vichar ho, jo sahi chhaina.",social_stigma_inquiry
Is it unhealthy for a woman to participate in sports during menstruation?,Period ko samay mahilale sports ma bhag lina garo chha ki unhealthy ho?,"No, it is not unhealthy for a woman to participate in sports during menstruation. In fact, exercise can help alleviate menstrual discomfort and improve mood.","Period ko samay mahilale sports ma bhag lina garo chhaina. Asalma, exercise le menstruation ko asuvidha haru kam garna ra manasik swasthya sudharna madat garne chha.",menstrual_health_inquiry
What foods to have in period?,Period ma k khanu ramro ho?,"Foods rich in magnesium like bananas, spinach, and nuts can help reduce cramps.","Magnesium le bhari khana jastai kera, palungo, ra badam le pet dukhai kam garna sakchha.",diet_intent
What to eat in a period?,Period ma k khanu thik ho?,"Foods rich in magnesium like bananas, spinach, and nuts can help reduce cramps.","Magnesium le bhari khana jastai kera, palungo, ra badam le pet dukhai kam garna sakchha.",diet_intent
Why do I have brown discharge before my period?, Period agadi mero kina brown color discharge aaucha?,"Brown discharge typically means that old blood is leaving the uterus, often occurring at the beginning or end of a period.", "Brown discharge matlab pahila ko blood hajur ko uterus bata flow bhaira ko cha. yo dherai jaso period ko start wa end tira huncha", period_question
What is progesterone?,Progesterone ke ho?,Progesterone is a hormone produced mainly in the ovaries after ovulation. It plays a crucial role in regulating the menstrual cycle and maintaining the early stages of pregnancy.,"Progesterone ek hormone ho, jo ovulation pachi ovaries ma utpadan huncha. Yo menstrual cycle lai niyantran garna ra garbhavastha ko suru ko charan ma sahayak huncha.",extra_intent
"What is serotonin?","Serotonin ke ho?","Serotonin is a neurotransmitter that contributes to feelings of well-being and happiness. It also plays a role in regulating mood, sleep, and digestion.","Serotonin ek neurotransmitter ho, jo sukha ra khushi ko anubhav garna madat garcha. Yo mood, nidra, ra pachen lai niyantran garna pani bhumika khelda cha.", extra_intent
What is estrogen?,Estrogen ke ho?,Estrogen is a primary female sex hormone responsible for the development and regulation of the female reproductive system and secondary sexual characteristics.,"Estrogen mahila ko mukhya sex hormone ho, jo mahila ko reproductive system ra dosro lingik visheshta ko bikas ra niyantran ko lagi jimmewar huncha.", extra_intent
"What is Rh factor?","Rh factor ke ho?","The Rh factor is a protein found on the surface of red blood cells. If your blood has this protein, you're Rh positive; if not, you're Rh negative.","Rh factor ek protein ho, jo red blood cell ko satah ma paaincha. Yadi tapai ko raktama yo protein cha bhane, tapai Rh sakaratmak hunuhuncha; yadi chaina bhane, Rh nakaratmak hunuhuncha.", extra_intent
"How does Rh factor affect pregnancy?","Rh factor le garbhavastha ma kasari asar garcha?","If an Rh-negative mother is carrying an Rh-positive baby, her body might produce antibodies against the baby's blood cells, potentially leading to complications. This condition is known as Rh incompatibility.","Yadi ek Rh nakaratmak aama le Rh sakaratmak shishu lai garbhma rakheki chan bhane, unko sharir le shishu ko raktakoshika viruddha antibody banauna sakcha, jasle garbhavastha ma samasya utpanna garna sakcha. Yo awastha lai Rh asammanjasta bhanincha.",extra_intent
"Which is better: cups, tampons, or pads?","Cup, tampon, ki pad kun ramro?","The choice between menstrual cups, tampons, and pads depends on personal preference, comfort, and lifestyle. Menstrual cups are reusable and eco-friendly, tampons are discreet and convenient, and pads are non-invasive and easy to use. It's best to try different options to see which works best for you.","Menstrual cup, tampon, ra pad ko bich ko chayan byakti gat ruchee, aram, ra jivan shaili ma nirbhar garcha. Menstrual cup haru punah prayog garna milne ra paryavaran mitra hunchan, tampon haru lukichupik ra sajilo hunchan, ra pad haru asani sanga prayog garna milcha. Tapai ko lagi kun ramro ho bhanera herna ko lagi bibhinna vikalpa haru prayog garnu ramro hunchha.",extra_intent
"Why do periods happen only to girls?","Mahawari kina keti haru lai matra huncha?","Periods occur in individuals with female reproductive systems. The menstrual cycle is a natural process preparing the body for potential pregnancy. Since males do not have the same reproductive organs, they do not experience menstruation.","Mahina ko din mahila ko prajanan tantra(reproductive system) bhayeka byakti haru ma huncha. Menstrual cycle ek prakritik prakriya ho, jo sharir lai sambhavit garbhavastha ko lagi tayar garcha. Purush haru sanga yo prajanan angaharu hudaina, tesaile tiniharu lai mahina ko din hudaina.",extra_intent
"Is it normal to have a headache during periods?","Mahina ko din ma tauko dukhnu sadharan ho?","Yes, experiencing headaches during periods is common due to hormonal changes. However, if the headaches are severe or persistent, it's advisable to consult a healthcare professional.","Ho, mahina ko din ma tauko dukhai hormonal pariwartan ko karanle sadharan ho. Tara, yadi tauko dukhai dherai chha ya dirghakalin chha bhane, swasthya biseshagya sanga paramarsha garnu upayukta hunchha.", extra_intent
"I am still bleeding after 10 days of period.","Mahina ko din suru bhayeko 10 din pachi pani bleeding bhairako cha.","Bleeding for more than 7 days is considered prolonged. It's important to consult a healthcare provider to determine the cause and receive appropriate treatment.","7 din bhanda badhi bleeding lambaeko manincha. Kaaran thaha pauna ra upayukta upachar pauna doctors sanga paramarsha garnu jaruri chha.",extra_intent
"vomiting in period, is it normal?","period ma vomiting normal ho?","Some individuals may experience nausea or vomiting during periods due to hormonal fluctuations. If this is severe or unusual for you, it's best to consult a healthcare professional.","Kehi vyakti haru lai hormonal pariwartan ko karanle mahina ko din ma waak waak ya banta auna sakcha. Yadi yo dherai chha ya tapai ko lagi asadharan chha bhane, doctors sanga paramarsha garnu ramro hunchha.", extra_intent
"Is vomiting normal during periods?","Mahina ko din ma banta aunu sadharan ho?","Some individuals may experience nausea or vomiting during periods due to hormonal fluctuations. If this is severe or unusual for you, it's best to consult a healthcare professional.","Kehi vyakti haru lai hormonal pariwartan ko karanle mahina ko din ma waak waak ya banta auna sakcha. Yadi yo dherai chha ya tapai ko lagi asadharan chha bhane, doctors sanga paramarsha garnu ramro hunchha.", extra_intent
"How can I delay my period?","Mahina ko din kasari dhila garna sakchu?","Delaying your period can be achieved through hormonal medications, such as birth control pills. It's essential to consult with a healthcare provider before attempting to alter your menstrual cycle.","Mahina ko din dhila garna hormonal aushadhi, jastai birth control pills, ko madat le sambhav chha. Afnai menstrual cycle pariwartan garnu agadi doctors sanga paramarsha garnu jaruri chha.", extra_intent
"What are diseases related to the uterus?","uterus sanga sambandhit rog or disease haru ke ke hun?","Diseases related to the uterus include fibroids, endometriosis, uterine polyps, and uterine cancer. If you experience unusual symptoms, it's important to consult a healthcare professional.","Uterus sanga sambandhit rog haru ma fibroids, endometriosis, uterine polyps, ra bachchadani ko cancer sammilit chan. Yadi tapai lai asadharan lakshan haru dekhincha bhane, doctors sanga consult garnu hola.", extra_intent
"My period blood is black, is it normal?","Mero mahina ko ragat kalo cha. Yo ko ho?","Black period blood is usually old blood that has taken longer to exit the uterus. It's typically seen at the beginning or end of a period and is generally not a cause for concern.","Kalo mahina ko ragat purano ragat ho, jasle garera bachha dhanibata niskina dhilo bhayo. Yo sadharanataya mahina ko suru ma ya antim ma dekhincha ra samanaya chinta ko karan hudaina.", blood_intent
"My period blood is gray. What does this mean?","Mero mahina ko ragat khairo cha. Yo ko ho?","Gray period blood can be a sign of bacterial infection, especially if accompanied by a foul odor or other symptoms. It's important to consult a healthcare provider in this case.","Khairo mahina ko ragat bacterial sankraman ko sanket huna sakcha, bises gari yadi durgandh ya anya lakshan sanga cha bhane. Yo avastha ma swasthya sewak sanga paramarsha garnu mahatwapurna cha.",blood_intent
"My period blood is orange. What does this mean?","Mero mahina ko ragat suntale cha. Yo ko ho?","Orange period blood may indicate blood mixed with cervical fluids. If it has a foul smell or is accompanied by discomfort, it could be a sign of infection, and you should consult a healthcare provider.","Suntale mahina ko ragat garbhashaya ko padarth sanga misieko ragat ko sanket huna sakcha. Yadi yo ma durgandh cha ya asajilo sanga cha bhane, yo sankraman ko sanket huna sakcha, ra tapai le swasthya sewak sanga paramarsha garnu parcha.",blood_intent
"Is it ok or not to drink caffeine?","caffeine khanu huncha ki hunna","Yes, in moderation, but too much caffeine can worsen cramps.","thorai matra ma khanu thik cha, tara dherai khaye bhane cramps badhna sakcha", diet_intent
"Why did I have my period twice in one month?","Ek mahina ma dui patak period kina bhayo?","Experiencing two periods in one month can be due to hormonal imbalances, stress, or underlying health conditions. It's advisable to consult a healthcare provider.","Ek mahina ma dui patak period aunu hormonal asantulan, tanav, ya anya swasthya samasya ka karan le huna sakcha. Swasthya sewak sanga paramarsha garnu upayukta huncha.","period_intent"
"my blood loss is very less?","mero blood loss kina kam cha?","Menstrual cramps with light bleeding can occur due to factors like hormonal fluctuations or stress. If this persists, consult a healthcare provider.","Pet dukhai ra kam ragat bahirinu hormonal pariwartan ya tanav ka karan le hun sakcha. Yo sthiti jari rahema, swasthya sewak sanga paramarsha garnu.", period_question
"my blood loss is very less?","mero dherai kam blood loss huncha?","Menstrual cramps with light bleeding can occur due to factors like hormonal fluctuations or stress. If this persists, consult a healthcare provider.","Pet dukhai ra kam ragat bahirinu hormonal pariwartan ya tanav ka karan le hun sakcha. Yo sthiti jari rahema, swasthya sewak sanga paramarsha garnu.", period_question
"why is my blood loss very high?","mero blood loss kina dherai cha?", "Experiencing heavy menstrual bleeding can be normal but if it exceeds normal that is more than about 40 ml of blood in one period then its better to consult a doctor.", "Period ma dherai blood loss huna normal ni huna sakcha tara ekdamai dherai jastai 40 ml bhanda badi ragat euta period ma flow bhaye bhane doctor lai dekhauna better ho.", health_intent
"I have period pain but less blood flow. What could be the reason?","Period ma pet dukhai cha tara ragat kam aaucha. Karan ke hola?","Menstrual cramps with light bleeding can occur due to factors like hormonal fluctuations or stress. If this persists, consult a healthcare provider.","Pet dukhai ra kam ragat bahirinu hormonal pariwartan ya tanav ka karan le hun sakcha. Yo sthiti jari rahema, swasthya sewak sanga paramarsha garnu.", period_question
"Can I drink black tea during my period?","Mahina ko belama black tea piuna milcha?","Yes, drinking black tea in moderation during your period is generally safe and can help with relaxation.","Ho, mahina ko belama sadharan matra ma black tea piunda samanya rupma surakshit huncha ra yasle aram dincha.","diet_intent"
"Can I drink milk tea during my period?","period ko belama milk tea khana milcha?","Yes, drinking milk tea in moderation during your period is generally safe and can help with relaxation.","Ho, mahina ko belama sadharan matra ma milk tea piunda samanya rupma surakshit huncha ra yasle aram dincha.","diet_intent"
"What is chamomile tea?","Chamomile tea ke ho?","Chamomile tea is an herbal infusion made from the chamomile flower, known for its calming effects and potential to reduce menstrual cramps.","Chamomile tea chamomile phul bata baneko ek jhadibuti chai ho, jaslai shant garne asar ra mahina ko pet dukhai kam garna sakne gun le chincha.","diet_intent"
"Can I take lemon during periods?","Mahina ko belama lemon khana milcha?","Yes, consuming lemon during your period is safe and can provide vitamin C, which supports overall health.","Ho, mahina ko belama lemon khanu surakshit cha ra yasle vitamin C dincha, jun samagra swasthya ko lagi upayogi huncha.","diet_intent"
"Will periods cause hormonal imbalance?","Mahina le hormonal asantulan garna sakcha?","Menstruation itself is a result of hormonal changes, but it doesn't cause hormonal imbalance. However, hormonal imbalances can affect your menstrual cycle.","Mahina aafai hormonal pariwartan ko natija ho, tara yasle hormonal asantulan gardaina. Tara, hormonal asantulan le tapai ko mahina ko chakramaa asar parna sakcha.","health_intent"
"What medicine can I take for period pain?","Mahina ko pet dukhai ma kun aushadhi khana milcha?","Over-the-counter pain relievers like ibuprofen or naproxen can help alleviate menstrual cramps. Consult with a healthcare provider for personalized advice.","Over-the-counter pain relievers jastai ibuprofen ya naproxen le mahina ko pet dukhai kam garna sakcha. Byakti gat salah ko lagi swasthya sewak sanga paramarsha garnu.","health_intent"
